TICKER,DATE,AMOUNT
QQQ,2003-12-24,0.014
QQQ,2004-12-17,0.379
QQQ,2005-06-17,0.035
QQQ,2005-12-16,0.101
QQQ,2006-03-17,0.029
QQQ,2006-06-16,0.026
QQQ,2006-09-15,0.023
QQQ,2006-12-15,0.054
QQQ,2007-03-16,0.027
QQQ,2007-06-15,0.037
QQQ,2007-09-21,0.026
QQQ,2007-12-21,0.053
QQQ,2008-03-20,0.033
QQQ,2008-06-20,0.034
QQQ,2008-09-19,0.028
QQQ,2008-12-19,0.043
QQQ,2009-03-20,0.049
QQQ,2009-06-19,0.044
QQQ,2009-09-18,0.041
QQQ,2009-12-18,0.073
QQQ,2010-03-19,0.051
QQQ,2010-06-18,0.089
QQQ,2010-06-25,0.089
QQQ,2010-09-17,0.112
QQQ,2010-12-17,0.108
QQQ,2011-03-18,0.077
QQQ,2011-06-17,0.121
QQQ,2011-09-16,0.104
QQQ,2011-12-16,0.161
QQQ,2011-12-27,0.049
QQQ,2012-03-16,0.113
QQQ,2012-06-15,0.143
QQQ,2012-09-21,0.2
QQQ,2012-12-21,0.367
QQQ,2013-03-15,0.159
QQQ,2013-06-21,0.224
QQQ,2013-09-20,0.238
QQQ,2013-12-20,0.272
QQQ,2014-02-27,0.373
QQQ,2014-03-21,0.206
QQQ,2014-06-20,0.249
QQQ,2014-09-19,0.238
QQQ,2014-12-19,0.387
QQQ,2015-03-20,0.248
QQQ,2015-06-19,0.254
QQQ,2015-09-18,0.26
QQQ,2015-12-18,0.342
QQQ,2016-03-18,0.318
QQQ,2016-06-17,0.287
QQQ,2016-09-16,0.294
QQQ,2016-12-16,0.355
QQQ,2017-03-17,0.274
QQQ,2017-06-16,0.378
QQQ,2017-09-18,0.319
QQQ,2017-12-18,0.329
QQQ,2018-03-19,0.277
QQQ,2018-06-18,0.378
QQQ,2018-09-24,0.33
QQQ,2018-12-24,0.421
QQQ,2019-03-18,0.324
QQQ,2019-06-24,0.416
QQQ,2019-09-23,0.384
QQQ,2019-12-23,0.458
QQQ,2020-03-23,0.363
QQQ,2020-06-22,0.424
QQQ,2020-12-21,0.561
QQQ,2021-03-22,0.395
QQQ,2021-06-21,0.397
QQQ,2021-09-20,0.414
QQQ,2021-12-20,0.491
QQQ,2022-03-21,0.434
QQQ,2022-06-21,0.527
QQQ,2022-09-19,0.519
QQQ,2022-12-19,0.655
QQQ,2023-03-20,0.472
QQQ,2023-06-20,0.504
QQQ,2023-09-18,0.536
QQQ,2023-12-18,0.808
QQQ,2023-12-27,0.216
QQQ,2024-03-18,0.573
QQQ,2024-06-24,0.762
QQQ,2024-09-23,0.677
QQQ,2024-12-23,0.835
QQQ,2025-03-24,0.716
QQQ,2025-06-23,0.591
QQQ,2025-09-22,0.694
QQQ,2025-12-22,0.794
TQQQ,2014-06-25,0.00025
TQQQ,2014-12-22,0.000354
TQQQ,2015-03-25,0.000229
TQQQ,2018-12-26,0.005125
TQQQ,2019-03-20,0.0025
TQQQ,2019-12-24,0.003875
TQQQ,2022-12-22,0.049
TQQQ,2023-03-22,0.075
TQQQ,2023-06-21,0.064
TQQQ,2023-09-20,0.0695
TQQQ,2023-12-20,0.1115
TQQQ,2024-03-20,0.1075
TQQQ,2024-06-26,0.1415
TQQQ,2024-09-25,0.115
TQQQ,2024-12-23,0.1375
TQQQ,2025-03-26,0.099
TQQQ,2025-06-25,0.109
TQQQ,2025-09-24,0.049
TQQQ,2025-12-24,0.086
VOO,2010-09-24,0.558
VOO,2010-12-27,0.526
VOO,2011-03-25,0.536
VOO,2011-06-24,0.57
VOO,2011-09-23,0.58
VOO,2011-12-23,0.686
VOO,2012-03-26,0.57
VOO,2012-06-25,0.64
VOO,2012-09-24,0.686
VOO,2012-12-24,0.94
VOO,2013-03-22,0.67
VOO,2013-06-24,0.738
VOO,2013-09-23,0.786
VOO,2013-12-24,0.914
VOO,2014-03-24,0.779
VOO,2014-06-23,0.809
VOO,2014-09-22,0.876
VOO,2015-03-23,0.984
VOO,2015-06-22,0.902
VOO,2015-09-21,0.953
VOO,2015-12-21,1.092
VOO,2016-03-21,1.006
VOO,2016-06-21,0.953
VOO,2016-09-13,0.883
VOO,2016-12-22,1.296
VOO,2017-03-22,0.998
VOO,2017-06-23,1.01
VOO,2017-09-20,1.176
VOO,2017-12-26,1.184
VOO,2018-03-26,1.084
VOO,2018-06-28,1.157
VOO,2018-09-26,1.207
VOO,2018-12-17,1.289
VOO,2019-03-21,1.455
VOO,2019-06-27,1.386
VOO,2019-09-26,1.301
VOO,2019-12-23,1.429
VOO,2020-03-10,1.178
VOO,2020-06-29,1.433
VOO,2020-09-29,1.309
VOO,2020-12-22,1.383
VOO,2021-03-26,1.263
VOO,2021-06-29,1.333
VOO,2021-09-29,1.308
VOO,2021-12-21,1.533
VOO,2022-03-24,1.374
VOO,2022-06-29,1.432
VOO,2022-09-28,1.469
VOO,2022-12-20,1.672
VOO,2023-03-24,1.487
VOO,2023-06-29,1.576
VOO,2023-09-28,1.493
VOO,2023-12-20,1.801
VOO,2024-03-22,1.543
VOO,2024-06-28,1.784
VOO,2024-09-27,1.639
VOO,2024-12-23,1.739
VOO,2025-03-27,1.812
VOO,2025-06-30,1.745
VOO,2025-09-29,1.74
VOO,2025-12-22,1.771
