TICKER,DATE,RATIO
AVGO,2024-07-15,10.0
TSM,1998-08-26,1.45
TSM,1999-08-16,1.23
TSM,2000-05-15,1.28
TSM,2001-06-26,1.4
TSM,2002-06-19,1.1
TSM,2003-07-07,1.08
TSM,2004-06-14,1.14
TSM,2005-06-13,1.05
TSM,2006-06-20,1.03
TSM,2009-07-15,1.005
V,2015-03-19,4.0
TSLA,2020-08-31,5.0
TSLA,2022-08-25,3.0
ZG,2015-08-17,3.207
GLW,1985-02-13,2.0
GLW,1989-02-15,2.0
GLW,1992-02-11,2.0
GLW,2000-10-04,3.0
AXP,1983-02-11,1.3333333333333333
AXP,1983-08-11,1.5
AXP,1987-05-11,2.0
AXP,1994-05-31,1.13314447592068
AXP,2000-05-11,3.0
AXP,2005-10-03,1.1424654404204273
MSFT,1987-09-21,2.0
MSFT,1990-04-16,2.0
MSFT,1991-06-27,1.5
MSFT,1992-06-15,1.5
MSFT,1994-05-23,2.0
MSFT,1996-12-09,2.0
MSFT,1998-02-23,2.0
MSFT,1999-03-29,2.0
MSFT,2003-02-18,2.0
CMG,2024-06-26,50.0
ASML,1997-05-12,2.0
ASML,1998-05-08,2.0
ASML,2000-04-17,3.0
ASML,2007-10-01,0.8888888888888888
STN,2006-05-31,2.0
STN,2014-11-17,2.0
VOO,2013-10-24,0.5
AMZN,1998-06-02,2.0
AMZN,1999-01-05,3.0
AMZN,1999-09-02,2.0
AMZN,2022-06-06,20.0
AAPL,1987-06-16,2.0
AAPL,2000-06-21,2.0
AAPL,2005-02-28,2.0
AAPL,2014-06-09,7.0
AAPL,2020-08-31,4.0
SHOP,2022-06-29,10.0
PGR,1980-09-23,1.5
PGR,1981-06-08,1.5
PGR,1983-05-16,1.5
PGR,1985-05-28,1.5
PGR,1986-05-27,2.25
PGR,1992-12-09,3.0
PGR,2002-04-23,3.0
PGR,2006-05-19,4.0
MNST,1988-02-29,0.02
MNST,2005-08-09,2.0
MNST,2006-07-10,4.0
MNST,2012-02-16,2.0
MNST,2016-11-10,3.0
MNST,2023-03-28,2.0
NFLX,2004-02-12,2.0
NFLX,2015-07-15,7.0
NFLX,2025-11-17,10.0
TTD,2021-06-17,10.0
INTC,1980-10-09,2.0
INTC,1983-07-01,2.0
INTC,1987-10-29,1.5
INTC,1993-06-07,2.0
INTC,1995-06-19,2.0
INTC,1997-07-14,2.0
INTC,1999-04-12,2.0
INTC,2000-07-31,2.0
QQQ,2000-03-20,2.0
MA,2014-01-22,10.0
EME,2006-02-13,2.0
EME,2007-07-10,2.0
LRCX,1993-09-16,1.5
LRCX,2000-03-17,3.0
LRCX,2024-10-03,10.0
CELH,2009-12-24,0.05
CELH,2023-11-15,3.0
SMCI,2024-10-01,10.0
NVDA,2000-06-27,2.0
NVDA,2001-09-10,2.0
NVDA,2006-04-07,2.0
NVDA,2007-09-11,1.5
NVDA,2021-07-20,4.0
NVDA,2024-06-10,10.0
